rating,movie,year,country,rating_ball,director,screenwriter,actors
0,Побег из Шоушенка ,1994,США,9.111, Фрэнк Дарабонт, Фрэнк Дарабонт  Стивен Кинг,Тим Роббинс Морган Фриман Боб Гантон Уильям Сэдлер Клэнси Браун
1,Зеленая миля ,1999,США,9.062, Фрэнк Дарабонт, Фрэнк Дарабонт  Стивен Кинг,Том Хэнкс Дэвид Морс Бонни Хант Майкл Кларк Дункан Джеймс Кромуэлл
2,Форрест Гамп ,1994,США,8.913, Роберт Земекис, Эрик Рот  Уинстон Грум,Том Хэнкс Робин Райт Салли Филд Гэри Синиз Майкелти Уильямсон
3,Список Шиндлера ,1993,США,8.817, Стивен Спилберг, Стивен Зеллиан  Томас Кенилли,Лиам Нисон Бен Кингсли Рэйф Файнс Кэролайн Гудолл Эмбет Дэвидц
4,1+1 ,2011,Франция,8.807, Оливье Накаш  Эрик Толедано, Оливье Накаш  Филипп Поццо ди Борго  Эрик Толедано,Франсуа Клюзе Омар Си Анн Ле Ни Одри Флеро Жозефин де Мо
5,Начало ,2010,США,8.662, Кристофер Нолан, Кристофер Нолан,Леонардо ДиКаприо Джозеф Гордон-Левитт Эллен Пейдж Том Харди Кэн Ватанабэ
6,Леон ,1994,Франция,8.681, Люк Бессон, Люк Бессон,Жан Рено Гари Олдман Натали Портман Дэнни Айелло Питер Эппел
7,Король Лев ,1994,США,8.772, Роджер Аллерс  Роб Минкофф, Ирен Меччи  Джонатан Робертс  Линда Вулвертон ...,Мэттью Бродерик Джереми Айронс Нэйтан Лейн Эрни Сабелла Джеймс Эрл Джонс
8,Бойцовский клуб ,1999,США,8.645, Дэвид Финчер, Джим Улс  Чак Паланик,Эдвард Нортон Брэд Питт Хелена Бонем Картер Мит Лоаф Зэк Гренье
9,Иван Васильевич меняет профессию ,1973,СССР,8.782, Леонид Гайдай, Владлен Бахнов  Леонид Гайдай  Михаил Булгаков,Александр Демьяненко Юрий Яковлев Леонид Куравлёв Наталья Крачковская Савелий Крамаров
10,Жизнь прекрасна ,1997,Италия,8.624, Роберто Бениньи, Винченцо Черами  Роберто Бениньи,Роберто Бениньи Николетта Браски Джорджио Кантарини Джустино Дурано Серджио Бини Бустрик
11,Достучаться до небес ,1997,Германия,8.629, Томас Ян, Томас Ян  Тиль Швайгер,Тиль Швайгер Ян Йозеф Лиферс Тьерри Ван Вервеке Мориц Бляйбтрой Хуб Стапель
12,Крестный отец ,1972,США,8.732, Фрэнсис Форд Коппола, Марио Пьюзо  Фрэнсис Форд Коппола,Марлон Брандо Аль Пачино Джеймс Каан Роберт Дювалл Ричард С. Кастеллано
13,Криминальное чтиво ,1994,США,8.619, Квентин Тарантино, Квентин Тарантино  Роджер Эвери,Джон Траволта Сэмюэл Л. Джексон Брюс Уиллис Ума Турман Винг Реймз
14,Операция «Ы» и другие приключения Шурика ,1965,СССР,8.712, Леонид Гайдай, Леонид Гайдай  Яков Костюковский  Морис Слободской,Александр Демьяненко Наталья Селезнёва Алексей Смирнов Юрий Никулин Евгений Моргунов
15,Престиж ,2006,США,8.523, Кристофер Нолан, Джонатан Нолан  Кристофер Нолан  Кристофер Прист,Хью Джекман Кристиан Бэйл Майкл Кейн Пайпер Перабо Ребекка Холл
16,Игры разума ,2001,США,8.555, Рон Ховард, Акива Голдсман  Сильвия Насар,Рассел Кроу Эд Харрис Дженнифер Коннелли Кристофер Пламмер Пол Беттани
17,Интерстеллар ,2014,США,8.591, Кристофер Нолан, Джонатан Нолан  Кристофер Нолан,Мэттью МакКонахи Энн Хэтэуэй Джессика Честейн Маккензи Фой Майкл Кейн
18,Властелин колец: Возвращение Короля ,2003,Новая Зеландия,8.623, Питер Джексон, Фрэн Уолш  Филиппа Бойенс  Питер Джексон ...,Элайджа Вуд Вигго Мортенсен Шон Эстин Иэн Маккеллен Орландо Блум
19,Гладиатор ,2000,США,8.577, Ридли Скотт, Дэвид Францони  Джон Логан  Уильям Николсон,Рассел Кроу Хоакин Феникс Конни Нильсен Оливер Рид Ричард Харрис
20,Назад в будущее ,1985,США,8.626, Роберт Земекис, Роберт Земекис  Боб Гейл,Майкл Дж. Фокс Кристофер Ллойд Лиа Томпсон Криспин Гловер Томас Ф. Уилсон
21,Карты деньги два ствола ,1998,Великобритания,8.547, Гай Ричи, Гай Ричи,Джейсон Флеминг Декстер Флетчер Ник Моран Джейсон Стэйтем Стивен Макинтош
22,Матрица ,1999,США,8.490, Лана Вачовски  Лилли Вачовски, Лилли Вачовски  Лана Вачовски,Киану Ривз Лоренс Фишбёрн Кэрри-Энн Мосс Хьюго Уивинг Глория Фостер
23,Бриллиантовая рука ,1968,СССР,8.516, Леонид Гайдай, Леонид Гайдай  Морис Слободской  Яков Костюковский,Юрий Никулин Андрей Миронов Анатолий Папанов Нина Гребешкова Станислав Чекан
24,Отступники ,2006,США,8.455, Мартин Скорсезе, Уильям Монахэн  Алан Мак  Феликс Чон,Леонардо ДиКаприо Мэтт Дэймон Джек Николсон Марк Уолберг Мартин Шин
25,Поймай меня если сможешь ,2002,США,8.513, Стивен Спилберг, Джефф Натансон  Фрэнк Эбегнейл мл.  Стэн Реддинг,Леонардо ДиКаприо Том Хэнкс Кристофер Уокен Мартин Шин Натали Бай
26,Пианист ,2002,Польша,8.462, Роман Полански, Рональд Харвуд  Владислав Шпильман,Эдриан Броуди Эмилия Фокс Даниэль Кальтаджироне Эд Стоппард Морин Липман
27,Властелин колец: Братство кольца ,2001,США,8.570, Питер Джексон, Фрэн Уолш  Филиппа Бойенс  Питер Джексон ...,Элайджа Вуд Иэн Маккеллен Шон Эстин Вигго Мортенсен Билли Бойд
28,В бой идут одни «старики» ,1973,СССР,8.709, Леонид Быков, Леонид Быков  Евгений Оноприенко  Александр Сацкий,Леонид Быков Сергей Подгорный Сергей Иванов Рустам Сагдуллаев Евгения Симонова
29,ВАЛЛ·И ,2008,США,8.307, Эндрю Стэнтон, Эндрю Стэнтон  Джим Рирдон  Пит Доктер,Бен Бертт Элисса Найт Джефф Гарлин Фред Уиллард Джон Ратценбергер
30,Тайна Коко ,2017,США,8.608, Ли Анкрич  Эдриан Молина, Мэттью Олдрич  Эдриан Молина  Ли Анкрич ...,Энтони Гонсалес Гаэль Гарсиа Берналь Бенджамин Брэтт Аланна Юбак Рене Виктор
31,Большой куш ,2000,Великобритания,8.536, Гай Ричи, Гай Ричи,Джейсон Стэйтем Стивен Грэм Брэд Питт Алан Форд Робби Ги
32,Властелин колец: Две крепости ,2002,Новая Зеландия,8.566, Питер Джексон, Фрэн Уолш  Филиппа Бойенс  Стивен Синклер ...,Элайджа Вуд Иэн Маккеллен Вигго Мортенсен Лив Тайлер Шон Эстин
33,Американская история X ,1998,США,8.296, Тони Кэй, Дэвид МакКенна,Эдвард Нортон Эдвард Ферлонг Беверли Д’Анджело Дженнифер Лиен Итан Сапли
